id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
1,"Belajar Cara Praktis Pembukuan Bisnis, Ikuti Workshop 2 Jam Jago Accurate Online",,Pendidikan,belajar praktis pembukuan bisnis ikuti workshop jam jago accurate online,belajar praktis pembukuan bisnis ikuti workshop jam jago accurate online,belajar praktis pembukuan bisnis ikuti workshop jam jago accurate online,ajar praktis buku bisnis ikut workshop jam jago accurate online,"['ajar', 'praktis', 'buku', 'bisnis', 'ikut', 'workshop', 'jam', 'jago', 'accurate', 'online']"
2,Infografis: Pro dan Kontra SPMB Perdana,,Pendidikan,infografis pro kontra spmb perdana,infografis pro kontra spmb perdana,infografis pro kontra spmb perdana,infografis pro kontra spmb perdana,"['infografis', 'pro', 'kontra', 'spmb', 'perdana']"
3,Ilmuwan UI Soroti Tak Banyak Peneliti yang Studi tentang Layanan Disabilitas,,Pendidikan,ilmuwan ui soroti peneliti studi layanan disabilitas,ilmuwan ui soroti peneliti studi layanan disabilitas,ilmuwan ui soroti peneliti studi layanan disabilitas,ilmuwan ui sorot teliti studi layan disabilitas,"['ilmuwan', 'ui', 'sorot', 'teliti', 'studi', 'layan', 'disabilitas']"
4,"10 Twibbon Hari Batik Nasional 2025, Gratis dan Mudah Dipakai",,Pendidikan,twibbon batik nasional gratis mudah dipakai,twibbon batik nasional gratis mudah dipakai,twibbon batik nasional gratis mudah dipakai,twibbon batik nasional gratis mudah pakai,"['twibbon', 'batik', 'nasional', 'gratis', 'mudah', 'pakai']"
5,"P2G: Bisa Beri Insentif untuk Guru PJ MBG, Kenapa Pemerintah Sulit Menggaji Honorer?",,Pendidikan,insentif guru pj mbg pemerintah sulit menggaji honorer,insentif guru pj mbg pemerintah sulit menggaji honorer,insentif guru pj mbg pemerintah sulit menggaji honorer,insentif guru pj mbg perintah sulit gaji honorer,"['insentif', 'guru', 'pj', 'mbg', 'perintah', 'sulit', 'gaji', 'honorer']"
6,"Potret Festival Pengabdian Masyarakat UI 2025, Dihadiri Dubes Palestina",,Pendidikan,potret festival pengabdian masyarakat ui dihadiri dubes palestina,potret festival pengabdian masyarakat ui dihadiri dubes palestina,potret festival pengabdian masyarakat ui dihadiri dubes palestina,potret festival abdi masyarakat ui hadir dubes palestina,"['potret', 'festival', 'abdi', 'masyarakat', 'ui', 'hadir', 'dubes', 'palestina']"
7,"Bersiap, Beasiswa Patriot Kementrans Bakal Buka Pendaftaran ke Universitas Jepang",,Pendidikan,beasiswa patriot kementrans buka pendaftaran universitas jepang,beasiswa patriot kementrans buka pendaftaran universitas jepang,beasiswa patriot kementrans buka pendaftaran universitas jepang,beasiswa patriot trans buka daftar universitas jepang,"['beasiswa', 'patriot', 'trans', 'buka', 'daftar', 'universitas', 'jepang']"
8,"Guru Dijadikan Penanggung Jawab MBG, P2G: Patut Diduga BGN Coba Lepas Tangan",,Pendidikan,guru dijadikan penanggung mbg patut diduga bgn coba lepas tangan,guru dijadikan penanggung mbg patut diduga bgn coba lepas tangan,guru dijadikan penanggung mbg patut diduga bgn coba lepas tangan,guru jadi tanggung mbg patut duga bgn coba lepas tangan,"['guru', 'jadi', 'tanggung', 'mbg', 'patut', 'duga', 'bgn', 'coba', 'lepas', 'tangan']"
9,"96% Warga Palestina Berpendidikan, Dubes: Otak Jadi Senjata untuk Kalahkan Israel",,Pendidikan,warga palestina berpendidikan dubes otak senjata kalahkan israel,warga palestina berpendidikan dubes otak senjata kalahkan israel,warga palestina berpendidikan dubes otak senjata kalahkan israel,warga palestina didik dubes otak senjata kalah israel,"['warga', 'palestina', 'didik', 'dubes', 'otak', 'senjata', 'kalah', 'israel']"
10,"Sebagian Soal TKA SD-SMP Disusun Pemda, Kemendikdasmen: Konteks Lokal",,Pendidikan,tka disusun pemda kemendikdasmen konteks lokal,tka disusun pemda kemendikdasmen konteks lokal,tka disusun pemda kemendikdasmen konteks lokal,tka susun pemda kemendikdasmen konteks lokal,"['tka', 'susun', 'pemda', 'kemendikdasmen', 'konteks', 'lokal']"
11,"Dubes Palestina Ceritakan Sejarah Penjajahan Israel, Minta Rakyat Gaza Tak Lagi Dibunuh",,Pendidikan,dubes palestina ceritakan sejarah penjajahan israel rakyat gaza dibunuh,dubes palestina ceritakan sejarah penjajahan israel rakyat gaza dibunuh,dubes palestina ceritakan sejarah penjajahan israel rakyat gaza dibunuh,dubes palestina cerita sejarah jajah israel rakyat gaza bunuh,"['dubes', 'palestina', 'cerita', 'sejarah', 'jajah', 'israel', 'rakyat', 'gaza', 'bunuh']"
12,"Apa Penyebab Gempa Bumi M 6,5 di Sumenep? Ini Penjelasan BMKG",,Pendidikan,penyebab gempa bumi m sumenep penjelasan bmkg,penyebab gempa bumi m sumenep penjelasan bmkg,penyebab gempa bumi m sumenep penjelasan bmkg,sebab gempa bumi m sumenep jelas bmkg,"['sebab', 'gempa', 'bumi', 'm', 'sumenep', 'jelas', 'bmkg']"
13,"Uji Kesetaraan Dihapuskan, Penyetaraan Pakai Nilai TKA!",,Pendidikan,uji kesetaraan dihapuskan penyetaraan pakai nilai tka,uji kesetaraan dihapuskan penyetaraan pakai nilai tka,uji kesetaraan dihapuskan penyetaraan pakai nilai tka,uji tara hapus tara pakai nilai tka,"['uji', 'tara', 'hapus', 'tara', 'pakai', 'nilai', 'tka']"
14,"Kisah Ela, Anak Petani Jombang yang Jadi Wisudawan Terbaik Unesa",,Pendidikan,kisah ela anak petani jombang wisudawan terbaik unesa,kisah ela anak petani jombang wisudawan terbaik unesa,kisah ela anak petani jombang wisudawan terbaik unesa,kisah ela anak tani jombang wisudawan baik unesa,"['kisah', 'ela', 'anak', 'tani', 'jombang', 'wisudawan', 'baik', 'unesa']"
15,"Mengenal Radioaktif Cesium-137 yang Ditemukan di Cikande, Seperti Apa Risikonya?",,Pendidikan,mengenal radioaktif ditemukan cikande risikonya,mengenal radioaktif ditemukan cikande risikonya,mengenal radioaktif ditemukan cikande risikonya,kenal radioaktif temu cikande risiko,"['kenal', 'radioaktif', 'temu', 'cikande', 'risiko']"
16,"Cucu Keracunan MBG, Mahfud MD: Program Mulia tapi Tata Kelola Harus Jelas",,Pendidikan,cucu keracunan mbg mahfud md program mulia tata kelola,cucu keracunan mbg mahfud md program mulia tata kelola,cucu keracunan mbg mahfud md program mulia tata kelola,cucu racun mbg mahfud md program mulia tata kelola,"['cucu', 'racun', 'mbg', 'mahfud', 'md', 'program', 'mulia', 'tata', 'kelola']"
17,Dubes Palestina Tanggapi Pidato Presiden Prabowo di PBB: Sebuah Pesan Perdamaian,,Pendidikan,dubes palestina tanggapi pidato presiden prabowo pbb pesan perdamaian,dubes palestina tanggapi pidato presiden prabowo pbb pesan perdamaian,dubes palestina tanggapi pidato presiden prabowo pbb pesan perdamaian,dubes palestina tanggap pidato presiden prabowo pbb pesan damai,"['dubes', 'palestina', 'tanggap', 'pidato', 'presiden', 'prabowo', 'pbb', 'pesan', 'damai']"
18,Video: Harvard-Donald Trump Capai Kesepakatan USD 500 Juta,,Pendidikan,video trump capai kesepakatan usd juta,video trump capai kesepakatan usd juta,video trump capai kesepakatan usd juta,video trump capai sepakat usd juta,"['video', 'trump', 'capai', 'sepakat', 'usd', 'juta']"
19,"Kemendikdasmen Sebut TKA Juga Punya Manfaat untuk Guru-Sekolah, Apa Saja?",,Pendidikan,kemendikdasmen tka manfaat,kemendikdasmen tka manfaat,kemendikdasmen tka manfaat,kemendikdasmen tka manfaat,"['kemendikdasmen', 'tka', 'manfaat']"
20,"Dosen UB Soroti Kasus Keracunan Massal MBG, Perlukah Diberhentikan?",,Pendidikan,dosen ub soroti keracunan massal mbg diberhentikan,dosen ub soroti keracunan massal mbg diberhentikan,dosen ub soroti keracunan massal mbg diberhentikan,dosen ub sorot racun massal mbg henti,"['dosen', 'ub', 'sorot', 'racun', 'massal', 'mbg', 'henti']"
21,"BMKG Ungkap Kapan Puncak Musim Hujan di Indonesia, Cek Tempat Tinggalmu!",,Pendidikan,bmkg puncak musim hujan indonesia cek tinggalmu,bmkg puncak musim hujan indonesia cek tinggalmu,bmkg puncak musim hujan indonesia cek tinggalmu,bmkg puncak musim hujan indonesia cek tinggal,"['bmkg', 'puncak', 'musim', 'hujan', 'indonesia', 'cek', 'tinggal']"
22,"Beasiswa BPP S3 Dalam Negeri 2025 untuk Dosen-Guru Dibuka, Total Rp 30 Juta",,Pendidikan,beasiswa bpp negeri dibuka total rp juta,beasiswa bpp negeri dibuka total rp juta,beasiswa bpp negeri dibuka total rp juta,beasiswa bpp negeri buka total rp juta,"['beasiswa', 'bpp', 'negeri', 'buka', 'total', 'rp', 'juta']"
23,Teks Ikrar Hari Kesaktian Pancasila dari Kemenbud untuk Dibaca 1 Oktober 2025,,Pendidikan,teks ikrar kesaktian pancasila kemenbud dibaca oktober,teks ikrar kesaktian pancasila kemenbud dibaca oktober,teks ikrar kesaktian pancasila kemenbud dibaca oktober,teks ikrar sakti pancasila kemenbud baca oktober,"['teks', 'ikrar', 'sakti', 'pancasila', 'kemenbud', 'baca', 'oktober']"
24,"Sekolah Haruskan Murid Ikut TKA, Komisi X DPR: Wajibin Aja Kalau Berjalan Baik",,Pendidikan,sekolah haruskan murid tka komisi x dpr wajibin aja berjalan,sekolah haruskan murid tka komisi x dpr wajibin aja berjalan,sekolah haruskan murid tka komisi x dpr wajibin saja berjalan,sekolah harus murid tka komisi x dpr wajibin saja jalan,"['sekolah', 'harus', 'murid', 'tka', 'komisi', 'x', 'dpr', 'wajibin', 'saja', 'jalan']"
25,"Siswa Keluhkan Mapel Pilihan TKA Dipilihkan Sekolah, Kemendikdasmen Jawab Begini",,Pendidikan,siswa keluhkan mapel pilihan tka dipilihkan sekolah kemendikdasmen,siswa keluhkan mapel pilihan tka dipilihkan sekolah kemendikdasmen,siswa keluhkan mapel pilihan tka dipilihkan sekolah kemendikdasmen,siswa keluh mapel pilih tka pilih sekolah kemendikdasmen,"['siswa', 'keluh', 'mapel', 'pilih', 'tka', 'pilih', 'sekolah', 'kemendikdasmen']"
26,"Info GTK 2025: Cara Login, Cek Data, dan Panduan Lengkap",,Pendidikan,info gtk login cek data panduan lengkap,info gtk login cek data panduan lengkap,info gtk login cek data panduan lengkap,info gtk login cek data pandu lengkap,"['info', 'gtk', 'login', 'cek', 'data', 'pandu', 'lengkap']"
27,Komisi X DPR: Naskah Akademik Revisi UU Sisdiknas Hoaks,,Pendidikan,komisi x dpr naskah akademik revisi uu sisdiknas hoaks,komisi x dpr naskah akademik revisi uu sisdiknas hoaks,komisi x dpr naskah akademik revisi uu sisdiknas hoaks,komisi x dpr naskah akademik revisi uu sisdiknas hoaks,"['komisi', 'x', 'dpr', 'naskah', 'akademik', 'revisi', 'uu', 'sisdiknas', 'hoaks']"
28,Hari Batik Nasional Tanggal Berapa? Ini Jadwal dan Tema Tahun Ini,,Pendidikan,batik nasional tanggal jadwal tema,batik nasional tanggal jadwal tema,batik nasional tanggal jadwal tema,batik nasional tanggal jadwal tema,"['batik', 'nasional', 'tanggal', 'jadwal', 'tema']"
29,"Siap-siap, Pemerintah Mulai Program Magang Nasional 15 Oktober!",,Pendidikan,pemerintah program magang nasional oktober,pemerintah program magang nasional oktober,pemerintah program magang nasional oktober,perintah program magang nasional oktober,"['perintah', 'program', 'magang', 'nasional', 'oktober']"
30,"20 Contoh Soal TKA SMA Mapel Bahasa Indonesia Tingkat Lanjut, Cek Kisi-kisinya!",,Pendidikan,contoh tka sma mapel bahasa indonesia tingkat cek,contoh tka sma mapel bahasa indonesia tingkat cek,contoh tka sma mapel bahasa indonesia tingkat cek,contoh tka sma mapel bahasa indonesia tingkat cek,"['contoh', 'tka', 'sma', 'mapel', 'bahasa', 'indonesia', 'tingkat', 'cek']"
31,Belajar Benda Langit Lewat Pekan Astronomi di Planetarium,,Pendidikan,belajar benda langit pekan astronomi planetarium,belajar benda langit pekan astronomi planetarium,belajar benda langit pekan astronomi planetarium,ajar benda langit pekan astronomi planetarium,"['ajar', 'benda', 'langit', 'pekan', 'astronomi', 'planetarium']"
32,Kalender Oktober 2025: Cek Daftar Libur dan Hari Besar Nasional-Internasional!,,Pendidikan,kalender oktober cek daftar libur,kalender oktober cek daftar libur,kalender oktober cek daftar libur,kalender oktober cek daftar libur,"['kalender', 'oktober', 'cek', 'daftar', 'libur']"
33,Nilai TKA Jadi Syarat Seleksi Sekolah Kedinasan? Begini Penjelasan Kemendikdasmen,,Pendidikan,nilai tka syarat seleksi sekolah kedinasan penjelasan kemendikdasmen,nilai tka syarat seleksi sekolah kedinasan penjelasan kemendikdasmen,nilai tka syarat seleksi sekolah kedinasan penjelasan kemendikdasmen,nilai tka syarat seleksi sekolah dinas jelas kemendikdasmen,"['nilai', 'tka', 'syarat', 'seleksi', 'sekolah', 'dinas', 'jelas', 'kemendikdasmen']"
34,Video: AIPKI Menampik Ada 'Permainan' di Uji Kompetensi Dokter,,Pendidikan,video aipki menampik uji kompetensi dokter,video aipki menampik uji kompetensi dokter,video aipki menampik uji kompetensi dokter,video aipki tampik uji kompetensi dokter,"['video', 'aipki', 'tampik', 'uji', 'kompetensi', 'dokter']"
35,"Cara Daftar Beasiswa Pemerintah Rusia 2026-2027, Cek Panduannya!",,Pendidikan,daftar beasiswa pemerintah rusia cek panduannya,daftar beasiswa pemerintah rusia cek panduannya,daftar beasiswa pemerintah rusia cek panduannya,daftar beasiswa perintah rusia cek pandu,"['daftar', 'beasiswa', 'perintah', 'rusia', 'cek', 'pandu']"
36,Video Pengamat Nilai Negara Mampu Biayai Sekolah Negeri-Swasta,,Pendidikan,video pengamat nilai negara biayai sekolah,video pengamat nilai negara biayai sekolah,video pengamat nilai negara biayai sekolah,video amat nilai negara biaya sekolah,"['video', 'amat', 'nilai', 'negara', 'biaya', 'sekolah']"
37,Video Guru Madrasah Swasta Protes Gak Bisa Ikut PPPK: Sangat Diskriminatif!,,Pendidikan,video guru madrasah swasta protes gak pppk diskriminatif,video guru madrasah swasta protes gak pppk diskriminatif,video guru madrasah swasta protes tidak pppk diskriminatif,video guru madrasah swasta protes tidak pppk diskriminatif,"['video', 'guru', 'madrasah', 'swasta', 'protes', 'tidak', 'pppk', 'diskriminatif']"
38,Video: DPR Curiga Ada 'Permainan' di Uji Kompetensi Mahasiswa Kedokteran,,Pendidikan,video dpr curiga uji kompetensi mahasiswa kedokteran,video dpr curiga uji kompetensi mahasiswa kedokteran,video dpr curiga uji kompetensi mahasiswa kedokteran,video dpr curiga uji kompetensi mahasiswa dokter,"['video', 'dpr', 'curiga', 'uji', 'kompetensi', 'mahasiswa', 'dokter']"
39,Video: DPR Soroti Penguatan Regulasi Pendidikan di Bawah Kemenag,,Pendidikan,video dpr soroti penguatan regulasi pendidikan kemenag,video dpr soroti penguatan regulasi pendidikan kemenag,video dpr soroti penguatan regulasi pendidikan kemenag,video dpr sorot kuat regulasi didik kemenag,"['video', 'dpr', 'sorot', 'kuat', 'regulasi', 'didik', 'kemenag']"
40,Pemerintah Rusia Buka Kesempatan Beasiswa untuk Mahasiswa Indonesia,,Pendidikan,pemerintah rusia buka kesempatan beasiswa mahasiswa indonesia,pemerintah rusia buka kesempatan beasiswa mahasiswa indonesia,pemerintah rusia buka kesempatan beasiswa mahasiswa indonesia,perintah rusia buka sempat beasiswa mahasiswa indonesia,"['perintah', 'rusia', 'buka', 'sempat', 'beasiswa', 'mahasiswa', 'indonesia']"
41,"Rp 100 Ribu buat Guru Penanggung Jawab MBG, JPPI: Penawar Pahit Minim Dosis",,Pendidikan,rp ribu guru penanggung mbg jppi penawar pahit minim dosis,rp ribu guru penanggung mbg jppi penawar pahit minim dosis,rp ribu guru penanggung mbg jppi penawar pahit minim dosis,rp ribu guru tanggung mbg jppi tawar pahit minim dosis,"['rp', 'ribu', 'guru', 'tanggung', 'mbg', 'jppi', 'tawar', 'pahit', 'minim', 'dosis']"
42,Survei: Hanya 13 Persen Orang Tua Tahu TKA Bukan Syarat Lanjut Studi,,Pendidikan,survei persen orang tua tka syarat studi,survei persen orang tua tka syarat studi,survei persen orang tua tka syarat studi,survei persen orang tua tka syarat studi,"['survei', 'persen', 'orang', 'tua', 'tka', 'syarat', 'studi']"
43,"Sederet Kritik Publik pada SPMB Perdana, Daya Tampung Kurang-Untungkan Siswa Tertentu",,Pendidikan,sederet kritik publik spmb perdana daya tampung siswa,sederet kritik publik spmb perdana daya tampung siswa,sederet kritik publik spmb perdana daya tampung siswa,deret kritik publik spmb perdana daya tampung siswa,"['deret', 'kritik', 'publik', 'spmb', 'perdana', 'daya', 'tampung', 'siswa']"
44,"Sosok Ida Loemongga, Perempuan Indonesia Pertama yang Bergelar Doktor",,Pendidikan,sosok ida loemongga perempuan indonesia bergelar doktor,sosok ida loemongga perempuan indonesia bergelar doktor,sosok ida loemongga perempuan indonesia bergelar doktor,sosok ida loemongga perempuan indonesia gelar doktor,"['sosok', 'ida', 'loemongga', 'perempuan', 'indonesia', 'gelar', 'doktor']"
45,Survei: 88% Orang Tua Murid Anggap Sistem SPMB Lebih Baik dari PPDB Sebelumnya,,Pendidikan,survei orang tua murid anggap sistem spmb ppdb,survei orang tua murid anggap sistem spmb ppdb,survei orang tua murid anggap sistem spmb ppdb,survei orang tua murid anggap sistem spmb ppdb,"['survei', 'orang', 'tua', 'murid', 'anggap', 'sistem', 'spmb', 'ppdb']"
46,"Teliti Temu Kunci, Hermawan Raih Doktor di UB dengan IPK 4,00",,Pendidikan,teliti temu kunci hermawan raih doktor ub ipk,teliti temu kunci hermawan raih doktor ub ipk,teliti temu kunci hermawan raih doktor ub ipk,teliti temu kunci hermawan raih doktor ub ipk,"['teliti', 'temu', 'kunci', 'hermawan', 'raih', 'doktor', 'ub', 'ipk']"
47,Program Master of Applied Finance SMU Raih Peringkat 1 di Singapura,,Pendidikan,program master of applied finance smu raih peringkat singapura,program master of applied finance smu raih peringkat singapura,program master of applied finance smu raih peringkat singapura,program master of applied finance smu raih peringkat singapura,"['program', 'master', 'of', 'applied', 'finance', 'smu', 'raih', 'peringkat', 'singapura']"
48,Presiden SMU Raih Penghargaan Sustainability Impact Awards 2025,,Pendidikan,presiden smu raih penghargaan sustainability impact awards,presiden smu raih penghargaan sustainability impact awards,presiden smu raih penghargaan sustainability impact awards,presiden smu raih harga sustainability impact awards,"['presiden', 'smu', 'raih', 'harga', 'sustainability', 'impact', 'awards']"
49,"20 Contoh Soal dan Jawaban TKA SMA Bahasa Inggris Wajib, Let's Practice!",,Pendidikan,contoh tka sma bahasa inggris wajib let practice,contoh tka sma bahasa inggris wajib let practice,contoh tka sma bahasa inggris wajib let practice,contoh tka sma bahasa inggris wajib let practice,"['contoh', 'tka', 'sma', 'bahasa', 'inggris', 'wajib', 'let', 'practice']"
50,"Berkunjung ke Museum A.H. Nasution, Saksi Bisu Tragedi G30S/PKI",,Pendidikan,berkunjung museum nasution saksi bisu tragedi,berkunjung museum nasution saksi bisu tragedi,berkunjung museum nasution saksi bisu tragedi,kunjung museum nasution saksi bisu tragedi,"['kunjung', 'museum', 'nasution', 'saksi', 'bisu', 'tragedi']"
51,Apakah Hari Kesaktian Pancasila 1 Oktober Ada Libur? Ini Jawabannya,,Pendidikan,kesaktian pancasila oktober libur jawabannya,kesaktian pancasila oktober libur jawabannya,kesaktian pancasila oktober libur jawabannya,sakti pancasila oktober libur jawab,"['sakti', 'pancasila', 'oktober', 'libur', 'jawab']"
52,Keren! Guru Pontianak Ini Pakai AI Ajarkan Bahasa Inggris-Raih Penghargaan UNESCO,,Pendidikan,keren guru pontianak pakai ai ajarkan bahasa penghargaan unesco,keren guru pontianak pakai ai ajarkan bahasa penghargaan unesco,keren guru pontianak pakai ai ajarkan bahasa penghargaan unesco,keren guru pontianak pakai ai ajar bahasa harga unesco,"['keren', 'guru', 'pontianak', 'pakai', 'ai', 'ajar', 'bahasa', 'harga', 'unesco']"
53,"Prospek Cerah, CMK Ajak Mahasiswa Intip Peluang di Industri Perhiasan",,Pendidikan,prospek cerah cmk ajak mahasiswa intip peluang industri perhiasan,prospek cerah cmk ajak mahasiswa intip peluang industri perhiasan,prospek cerah cmk ajak mahasiswa intip peluang industri perhiasan,prospek cerah cmk ajak mahasiswa intip peluang industri hias,"['prospek', 'cerah', 'cmk', 'ajak', 'mahasiswa', 'intip', 'peluang', 'industri', 'hias']"
54,"Komputer Sekolah Tak Memadai, Bagaimana Melaksanakan TKA?",,Pendidikan,komputer sekolah memadai melaksanakan tka,komputer sekolah memadai melaksanakan tka,komputer sekolah memadai melaksanakan tka,komputer sekolah pada laksana tka,"['komputer', 'sekolah', 'pada', 'laksana', 'tka']"
55,Pengumuman Akhir OMI Riset 2025 Bisa Dicek Kapan? Ini Jadwalnya,,Pendidikan,pengumuman omi riset dicek jadwalnya,pengumuman omi riset dicek jadwalnya,pengumuman omi riset dicek jadwalnya,umum omi riset cek jadwal,"['umum', 'omi', 'riset', 'cek', 'jadwal']"
56,Mendikdasmen Ajak Pelajar Samarinda Terapkan Tujuh Kebiasaan Sehat Lewat Senam,,Pendidikan,mendikdasmen ajak pelajar samarinda terapkan tujuh kebiasaan sehat senam,mendikdasmen ajak pelajar samarinda terapkan tujuh kebiasaan sehat senam,mendikdasmen ajak pelajar samarinda terapkan tujuh kebiasaan sehat senam,mendikdasmen ajak ajar samarinda terap tujuh biasa sehat senam,"['mendikdasmen', 'ajak', 'ajar', 'samarinda', 'terap', 'tujuh', 'biasa', 'sehat', 'senam']"
57,"Link Simulasi TKA 2025, Siswa SMA hingga SMK Wajib Coba!",,Pendidikan,link simulasi tka siswa sma smk wajib coba,link simulasi tka siswa sma smk wajib coba,link simulasi tka siswa sma smk wajib coba,link simulasi tka siswa sma smk wajib coba,"['link', 'simulasi', 'tka', 'siswa', 'sma', 'smk', 'wajib', 'coba']"
58,15 Contoh Soal Plus Jawaban dan Pembahasan TKA SMA 2025 Matematika Wajib,,Pendidikan,contoh plus pembahasan tka sma matematika wajib,contoh plus pembahasan tka sma matematika wajib,contoh plus pembahasan tka sma matematika wajib,contoh plus bahas tka sma matematika wajib,"['contoh', 'plus', 'bahas', 'tka', 'sma', 'matematika', 'wajib']"
59,"Mapel Pilihan TKA Harus Ada di Rapor, Minimal Berapa Semester?",,Pendidikan,mapel pilihan tka rapor minimal semester,mapel pilihan tka rapor minimal semester,mapel pilihan tka rapor minimal semester,mapel pilih tka rapor minimal semester,"['mapel', 'pilih', 'tka', 'rapor', 'minimal', 'semester']"
60,"Ada Lowongan Kerja PLN Group 2025, Terbuka untuk Lulusan D3-S1",,Pendidikan,lowongan kerja pln group terbuka lulusan,lowongan kerja pln group terbuka lulusan,lowongan kerja pln group terbuka lulusan,lowong kerja pln group buka lulus,"['lowong', 'kerja', 'pln', 'group', 'buka', 'lulus']"
61,"Prediksi Cuaca Berbagai Daerah Sepekan ke Depan, Waspada Hujan-Petir!",,Pendidikan,prediksi cuaca daerah sepekan waspada,prediksi cuaca daerah sepekan waspada,prediksi cuaca daerah sepekan waspada,prediksi cuaca daerah pek waspada,"['prediksi', 'cuaca', 'daerah', 'pek', 'waspada']"
62,"Peringatan-peringatan pada 30 September, Tak Hanya tentang G30S PKI",,Pendidikan,september pki,september pki,september pki,september pki,"['september', 'pki']"
63,"BCA Buka Lowongan Kerja untuk Lulusan Ini, Apa Saja Syaratnya?",,Pendidikan,bca buka lowongan kerja lulusan syaratnya,bca buka lowongan kerja lulusan syaratnya,bca buka lowongan kerja lulusan syaratnya,bca buka lowong kerja lulus syarat,"['bca', 'buka', 'lowong', 'kerja', 'lulus', 'syarat']"
64,Mengapa Harus Pasang Bendera Setengah Tiang Tiap 30 September? Ini Alasannya,,Pendidikan,pasang bendera tiang september alasannya,pasang bendera tiang september alasannya,pasang bendera tiang september alasannya,pasang bendera tiang september alas,"['pasang', 'bendera', 'tiang', 'september', 'alas']"
65,"Kiat Memilih Mapel Pilihan TKA, Masih Bisa Diganti Sebelum 5 Oktober!",,Pendidikan,kiat memilih mapel pilihan tka diganti oktober,kiat memilih mapel pilihan tka diganti oktober,kiat memilih mapel pilihan tka diganti oktober,kiat pilih mapel pilih tka ganti oktober,"['kiat', 'pilih', 'mapel', 'pilih', 'tka', 'ganti', 'oktober']"
66,Nama-nama Pahlawan yang Gugur dalam G30S PKI dan Bagaimana Penangkapannya,,Pendidikan,pahlawan gugur pki penangkapannya,pahlawan gugur pki penangkapannya,pahlawan gugur pki penangkapannya,pahlawan gugur pki tangkap,"['pahlawan', 'gugur', 'pki', 'tangkap']"
67,"Disentil Prabowo, Ini Daftar Menteri Kabinet Merah Putih Lulusan S3 atau Doktor",,Pendidikan,disentil prabowo daftar menteri kabinet merah putih lulusan doktor,disentil prabowo daftar menteri kabinet merah putih lulusan doktor,disentil prabowo daftar menteri kabinet merah putih lulusan doktor,sentil prabowo daftar menteri kabinet merah putih lulus doktor,"['sentil', 'prabowo', 'daftar', 'menteri', 'kabinet', 'merah', 'putih', 'lulus', 'doktor']"
68,Dosen Unpad: Dosen Bisa Tahu Mana Tugas Hasil AI dan Bukan,,Pendidikan,dosen unpad dosen tugas hasil ai,dosen unpad dosen tugas hasil ai,dosen unpad dosen tugas hasil ai,dosen unpad dosen tugas hasil ai,"['dosen', 'unpad', 'dosen', 'tugas', 'hasil', 'ai']"
69,"Mega Proyek Perikanan Rp 72 T, Pakar UGM Sorot Tantangan Ini",,Pendidikan,mega proyek perikanan rp t pakar ugm sorot tantangan,mega proyek perikanan rp t pakar ugm sorot tantangan,mega proyek perikanan rp t pakar ugm sorot tantangan,mega proyek ikan rp t pakar ugm sorot tantang,"['mega', 'proyek', 'ikan', 'rp', 't', 'pakar', 'ugm', 'sorot', 'tantang']"
70,"Korban G30S PKI: 6 Jenderal, 1 Perwira, Gerwani, hingga Etnis Tionghoa",,Pendidikan,korban pki jenderal perwira gerwani etnis tionghoa,korban pki jenderal perwira gerwani etnis tionghoa,korban pki jenderal perwira gerwani etnis tionghoa,korban pki jenderal perwira gerwani etnis tionghoa,"['korban', 'pki', 'jenderal', 'perwira', 'gerwani', 'etnis', 'tionghoa']"
71,"10 Provinsi dengan Persentase Pendaftar TKA Terendah SMA-SMK, Masih Ada Waktu!",,Pendidikan,provinsi persentase pendaftar tka terendah,provinsi persentase pendaftar tka terendah,provinsi persentase pendaftar tka terendah,provinsi persentase daftar tka rendah,"['provinsi', 'persentase', 'daftar', 'tka', 'rendah']"
72,Hari Kesaktian Pancasila 1 Oktober Apakah Libur? Anak Sekolah Cek Dulu!,,Pendidikan,kesaktian pancasila oktober libur anak sekolah cek,kesaktian pancasila oktober libur anak sekolah cek,kesaktian pancasila oktober libur anak sekolah cek,sakti pancasila oktober libur anak sekolah cek,"['sakti', 'pancasila', 'oktober', 'libur', 'anak', 'sekolah', 'cek']"
73,"Nilai-Nilai Pancasila: Pengertian, Jenis, dan Contoh yang Mudah Dipahami",,Pendidikan,pancasila pengertian jenis contoh mudah dipahami,pancasila pengertian jenis contoh mudah dipahami,pancasila pengertian jenis contoh mudah dipahami,pancasila erti jenis contoh mudah paham,"['pancasila', 'erti', 'jenis', 'contoh', 'mudah', 'paham']"
74,"Menteri Bergelar Doktor Kena Sentil, Prabowo: Kelewatan Kalau Tak Bisa Perbaiki Sistem",,Pendidikan,menteri bergelar doktor kena sentil prabowo kelewatan perbaiki sistem,menteri bergelar doktor kena sentil prabowo kelewatan perbaiki sistem,menteri bergelar doktor kena sentil prabowo kelewatan perbaiki sistem,menteri gelar doktor kena sentil prabowo lewat baik sistem,"['menteri', 'gelar', 'doktor', 'kena', 'sentil', 'prabowo', 'lewat', 'baik', 'sistem']"
