id,Judul Berita,Isi Berita,Kategori Berita,Judul_Bersih,Judul_Final,Judul_Baku,Judul_Stemmed,Judul_Tokenized
415,Saat Presiden Prabowo Minta Mario Aji dan Veda Ega Contoh Marc Marquez,,Olahraga,presiden prabowo mario aji veda ega contoh marc marquez,presiden prabowo mario aji veda ega contoh marc marquez,presiden prabowo mario aji veda ega contoh marc marquez,presiden prabowo mario aji veda ega contoh marc marquez,"['presiden', 'prabowo', 'mario', 'aji', 'veda', 'ega', 'contoh', 'marc', 'marquez']"
416,"Momen Menpora Makan Siang sama Rossi, lalu Temani Marquez Ketemu Prabowo",,Olahraga,momen menpora makan siang rossi temani marquez ketemu prabowo,momen menpora makan siang rossi temani marquez ketemu prabowo,momen menpora makan siang rossi temani marquez ketemu prabowo,momen menpora makan siang rossi teman marquez ketemu prabowo,"['momen', 'menpora', 'makan', 'siang', 'rossi', 'teman', 'marquez', 'ketemu', 'prabowo']"
417,"Soal Rencana Nikah, Marc Marquez: Tanya Gemma Saja",,Olahraga,rencana nikah marc marquez gemma,rencana nikah marc marquez gemma,rencana nikah marc marquez gemma,rencana nikah marc marquez gemma,"['rencana', 'nikah', 'marc', 'marquez', 'gemma']"
418,"Marc Marquez Maunya Lanjut Liburan di Mandalika, tapi...",,Olahraga,marc marquez maunya liburan mandalika,marc marquez maunya liburan mandalika,marc marquez maunya liburan mandalika,marc marquez mau libur mandalika,"['marc', 'marquez', 'mau', 'libur', 'mandalika']"
419,"Video Prabowo Sambut Marc Marquez di Istana: Hola, Se̱or",,Olahraga,video prabowo sambut marc marquez istana hola,video prabowo sambut marc marquez istana hola,video prabowo sambut marc marquez istana hola,video prabowo sambut marc marquez istana hola,"['video', 'prabowo', 'sambut', 'marc', 'marquez', 'istana', 'hola']"
420,KORMI DKI Lepas Oscar Tamio dan Akira Yenandhira Tampil di Malaysia,,Olahraga,kormi dki lepas oscar tamio akira yenandhira tampil malaysia,kormi dki lepas oscar tamio akira yenandhira tampil malaysia,kormi dki lepas oscar tamio akira yenandhira tampil malaysia,kormi dki lepas oscar tamio akira yenandhira tampil malaysia,"['kormi', 'dki', 'lepas', 'oscar', 'tamio', 'akira', 'yenandhira', 'tampil', 'malaysia']"
421,Ranking Fajar/Fikri Naik 15 Tingkat Usai Jadi Runner Up Korea Open 2025,,Olahraga,ranking tingkat runner up korea open,ranking tingkat runner up korea open,ranking tingkat runner up korea open,ranking tingkat runner up korea open,"['ranking', 'tingkat', 'runner', 'up', 'korea', 'open']"
422,Video Marc Marquez Siap Berlaga di Mandalika: Saya Akan Menikmatinya,,Olahraga,video marc marquez berlaga mandalika menikmatinya,video marc marquez berlaga mandalika menikmatinya,video marc marquez berlaga mandalika menikmatinya,video marc marquez laga mandalika nikmat,"['video', 'marc', 'marquez', 'laga', 'mandalika', 'nikmat']"
423,"Marc Marquez Ketemu Presiden Prabowo, Ini yang Dibahas",,Olahraga,marc marquez ketemu presiden prabowo dibahas,marc marquez ketemu presiden prabowo dibahas,marc marquez ketemu presiden prabowo dibahas,marc marquez ketemu presiden prabowo bahas,"['marc', 'marquez', 'ketemu', 'presiden', 'prabowo', 'bahas']"
424,Ratusan Perenang Taklukkan Laut Dakar Menuju Pulau Bersejarah Goree,,Olahraga,ratusan perenang taklukkan laut dakar pulau bersejarah goree,ratusan perenang taklukkan laut dakar pulau bersejarah goree,ratusan perenang taklukkan laut dakar pulau bersejarah goree,ratus renang takluk laut dakar pulau sejarah goree,"['ratus', 'renang', 'takluk', 'laut', 'dakar', 'pulau', 'sejarah', 'goree']"
425,"Marc Marquez Tiba di Indonesia, Ketemu Presiden Prabowo di Istana Negara",,Olahraga,marc marquez indonesia ketemu presiden prabowo istana negara,marc marquez indonesia ketemu presiden prabowo istana negara,marc marquez indonesia ketemu presiden prabowo istana negara,marc marquez indonesia ketemu presiden prabowo istana negara,"['marc', 'marquez', 'indonesia', 'ketemu', 'presiden', 'prabowo', 'istana', 'negara']"
426,"Bos Ducati: Marc Marquez yang Terbaik di MotoGP, tapi...",,Olahraga,bos ducati marc marquez terbaik motogp,bos ducati marc marquez terbaik motogp,bos ducati marc marquez terbaik motogp,bos ducati marc marquez baik motogp,"['bos', 'ducati', 'marc', 'marquez', 'baik', 'motogp']"
